Date,ABCB4,BBAS3,BBDC4,BPAN4,BTOW3,CGAS3,CMIG4,CSNA3,CYRE3,ELET3,ELPL4,ENBR3,EQTL3,EZTC3,FIBR3,GOAU4,HGTX3,ITUB4,LAME4,LREN3,MRVE3,MYPK3,PETR4,POMO4,QGEP3,RAPT4,SAPR4,SBSP3,SUZB5,TUPY3,USIM5,VALE5,WEGE3
6/5/2012,5.778904,13.193346,14.825962,NA,4.67417,21.089613,16.403233,9.799454,13.011072,11.257472,20.374283,9.643664,13.965112,13.307925,11.179023,19.06727,31.91617,16.424917,7.465813,6.680956,6.422756,20.142883,17.360838,3.559332,7.93809,6.136378,4.945431,19.48209,4.228104,18.623053,7.724799,28.628716,6.314218
6/6/2012,5.784656,13.474055,15.421063,NA,4.95184,21.367132,17.082111,9.838496,13.979592,11.669867,20.792694,9.666734,13.781371,13.768991,11.241525,19.912804,33.010902,17.112257,7.593978,6.824133,6.691389,22.102579,17.628639,3.727821,8.013066,6.316431,4.918369,19.842842,4.29189,18.852964,7.456715,29.472841,6.454251
6/8/2012,5.836405,13.488092,15.457347,NA,5.08142,22.088638,17.082111,9.799454,14.025277,12.020839,21.151339,9.912613,13.312838,13.901682,11.509394,19.855799,33.968792,17.011543,7.549116,6.851561,6.95188,22.102579,17.434713,3.694127,7.825626,6.338035,5.256635,19.9261,4.437686,18.535686,7.635437,29.727674,6.368317
6/11/2012,5.922663,13.614412,15.628112,NA,5.09993,22.088638,17.120369,9.705755,13.723758,11.827804,21.048868,9.781995,13.505715,14.11128,11.045089,19.751295,33.598526,17.183395,7.593978,6.871836,6.813494,22.827446,16.982224,3.753094,7.413257,6.482082,5.195747,20.203676,4.237216,17.629826,7.883664,29.377279,6.368317
6/12/2012,5.876658,13.614412,15.886813,NA,5.34984,22.088638,17.68935,9.736986,13.632388,12.178778,21.680763,9.951033,13.873288,14.181119,11.429033,20.435322,34.612743,17.479654,7.843906,7.053199,6.756513,22.59478,17.176149,3.799433,7.413257,6.482082,5.202512,20.739265,4.146093,17.933311,7.754586,30.03825,6.36514
6/13/2012,5.88241,13.579318,15.938639,NA,5.55347,21.755648,17.469406,9.822879,14.326798,12.336716,21.817387,9.766643,13.505715,14.285917,11.545109,20.663332,34.974976,17.509319,7.863131,7.158186,6.919319,22.469477,17.453184,3.795219,7.432002,6.518098,5.236339,21.091692,3.909173,18.163223,7.843947,30.181587,6.326945
6/14/2012,5.893905,13.333698,16.042112,NA,5.82189,21.50589,17.531523,9.807262,13.915632,12.310392,21.945475,9.682086,13.321975,14.22307,11.339744,20.900843,33.244335,17.521126,7.773417,7.044867,7.122829,22.818434,16.779066,3.778367,7.357026,6.525299,5.249869,20.814198,3.73604,17.933311,7.724799,30.149734,6.100988
6/15/2012,6.031911,13.467038,16.254288,NA,5.74784,21.639101,17.63669,9.799454,14.399894,12.626268,21.817387,9.989454,12.945264,14.516414,12.054057,21.261856,32.841866,17.894423,7.920807,7.192767,7.407743,22.72901,17.129976,3.917368,7.46949,6.590122,5.270165,20.481171,3.991184,18.852964,7.39714,30.579769,6.078704
6/18/2012,6.118162,13.993368,16.119722,NA,5.72007,21.533653,17.67975,9.799454,14.162333,12.415684,21.740534,9.758927,12.945264,14.516414,12.054057,21.261856,32.801624,NA,7.920807,7.062716,7.407743,22.72901,NA,3.917368,7.497606,6.758246,NA,20.481171,NA,18.852964,NA,30.579769,6.078704
6/19/2012,6.256168,14.568822,16.249086,NA,5.87742,21.639101,17.68935,9.463696,14.299386,12.424459,21.945475,9.666734,13.680321,14.460556,12.580864,21.356859,34.089531,18.060379,8.036157,7.187976,7.440303,23.489574,18.145769,3.807854,7.56321,6.770175,5.141624,21.152803,4.191655,17.933311,7.148914,31.622976,5.980045
6/20/2012,5.974412,14.512681,16.119722,NA,5.68305,21.50589,17.593708,9.635479,14.17147,12.529751,21.561214,9.758927,13.680321,14.474542,12.768372,20.900843,33.566322,17.805496,8.036157,7.217831,7.456584,22.326324,18.376633,3.719399,7.32891,6.762974,5.243104,21.091692,4.027634,17.933311,6.990049,31.734467,6.024605
6/21/2012,5.784656,14.379338,15.653982,NA,5.53496,21.367132,17.239941,9.330954,13.668935,12.459556,20.920782,9.735858,13.597631,14.195103,12.19692,19.969805,33.002853,17.106356,7.799044,7.015013,7.334478,21.261421,17.794861,3.647787,6.972774,6.532501,5.310756,21.044569,4.009409,18.852964,6.622674,30.938124,6.046879
6/22/2012,5.778904,14.157324,15.653982,NA,5.55347,21.755648,17.172955,9.104513,13.888223,12.08226,21.006172,9.682086,13.661954,14.355757,12.357642,19.599291,32.841866,16.750847,7.901584,6.901691,7.611252,20.581356,18.053425,3.703072,6.822822,6.503696,5.303992,20.675407,4.118757,18.167824,6.443952,30.906267,6.078704
6/25/2012,5.577646,13.601859,15.26584,NA,5.18324,21.639101,17.158625,8.706286,13.376552,11.976967,21.023252,9.904897,13.919154,13.971601,12.259422,19.010269,32.318649,16.116852,8.010523,6.877807,7.301917,20.312899,16.437389,3.533206,6.644753,6.388453,5.27693,20.814198,4.027634,18.623053,6.165938,30.444384,5.986416
6/26/2012,5.577646,13.281391,15.172693,NA,5.11845,21.089613,17.407223,8.760945,13.1664,11.994516,20.920782,9.78971,13.588402,14.383728,12.089773,19.295277,29.831364,16.093088,7.773417,6.680956,7.15539,19.910217,16.62208,3.448277,6.794705,6.280424,5.27693,21.063965,4.009409,18.843771,6.424093,31.001831,6.078704
6/27/2012,5.405146,13.38821,15.410726,NA,5.22952,21.084112,17.612764,8.667247,13.056757,12.213875,20.895164,9.820417,13.661954,14.167137,12.250494,19.504288,29.09886,16.30052,7.779818,6.569999,7.008862,20.303976,16.289639,3.664853,6.935286,6.474881,5.344584,21.458021,3.708703,18.852964,6.076577,30.930159,6.213249
6/28/2012,5.491396,13.359734,15.177894,NA,5.13696,21.361578,18.038317,8.534506,13.212086,12.336716,21.347736,9.820417,13.919154,14.062414,12.295138,19.371279,29.219603,16.146441,7.978482,6.412539,7.13097,20.447126,16.345045,3.652113,6.700985,6.503696,5.310756,21.449696,3.480896,18.852964,6.007074,30.524021,6.036644
6/29/2012,5.491396,13.908074,15.493551,NA,5.41463,21.361578,17.942677,8.88588,13.522742,12.503428,21.638067,9.904897,13.781371,14.404701,13.28625,21.03385,30.668512,16.762732,8.491156,6.722755,7.570549,20.939329,16.852942,3.843218,6.869681,6.482082,5.310756,21.36927,3.617581,18.852964,6.275158,31.184988,6.258198
7/2/2012,5.589149,13.99353,15.529751,NA,5.53496,21.533653,18.239132,9.018621,13.62325,12.520977,21.78323,10.074012,13.542537,14.523406,13.571977,21.005346,30.86974,16.829058,8.651366,6.6929,7.79848,20.82295,16.954521,3.851709,7.235189,6.410058,5.175451,21.36927,3.53557,18.852964,6.205655,31.161102,6.165087
